number,interest,title
436547,손해배상,업소 방문 남편에 대한 상간소 제기 가능성
436549,계약일반/매매,아파트 청약철회 요청 상담에 대한 이해와 해결방안
436552,미성년 대상 성범죄,틴더를 통한 협박 상담에 대한 이야기
436558,기타 재산범죄,"절도로 벌금형 받은 경우, 선고유예 가능성에 대한 고민"
436560,디지털 성범죄,랜챗 대화와 통매음 가능성에 대한 상담
436561,폭행/협박/상해 일반,"술자리에서의 사건, 어떻게 대처해야 할까요?"
436564,고소/소송절차,합의금 반환 가능성에 대한 고민
436565,기타 재산범죄,자전거 절도죄 합의에 대한 상담
436573,횡령/배임,형사 횡령사건 합의서 제출과 보석신청에 대한 질문
436575,임대차,아파트 전세 계약 의뢰 상담
436576,수사/체포/구속,아동학대 피신고자와 관련된 상담글
436577,기타 재산범죄,국보법위반 이적 찬양고무에 대한 상담
436582,미성년 대상 성범죄,불촬죄 고소와 실형 가능성에 대한 상담
436584,사기/공갈,"전세대출 사기 기소, 집행유예 가능성에 대한 상담"
436590,명예훼손/모욕 일반,"명예훼손 민사, 형사 동시진행에 대한 자문"
436593,이혼,자녀의 성본변경 신청 방법에 대한 상담글
436595,이혼,이혼과 양육권 문제에 대한 해결 방안
436596,기타 재산범죄,대부업법 위반 방조와 경찰조사 준비에 대한 상담
436598,지식재산권/엔터,이미지 도용에 대한 대응 방안
436603,건축/부동산 일반,토지 매매 계약의 해지와 계약금 반환 가능성에 대한 상담
436604,사이버 명예훼손/모욕,수사기관 제출용 정보 습득과 관련된 법적 죄의 성립
436606,계약일반/매매,결혼정보회사 이용 계약 관련 문제 제기 및 권리 훼손 관련 분쟁 승산 확인
436607,디지털 성범죄,음란 영상 유포에 대한 법적 처벌과 증거 채택 가능성
436609,사이버 명예훼손/모욕,모욕죄나 명예훼손으로 고소 가능한가요?
436611,기타 재산범죄,주거침입 및 명예훼손 고소 준비에 대한 상담
436613,계약일반/매매,온라인 판매 대금 미수 계약서 작성법에 대한 상담
436614,폭행/협박/상해 일반,상해폭행 가해자와 합의 후 처벌 여부
436615,병역/군형법,성희롱 사건으로 입건된 현역 병사의 자기방어권에 대한 조언 요청
436617,사기/공갈,검찰로 송치된 이후의 경찰 조사 과정
436619,건축/부동산 일반,법인 공동지분 부동산과 압류 상황에 대한 이해
436620,계약일반/매매,"게임 외주 계약서 작성 후 문제 발생, 해결 방안 모색"
436623,매매/소유권 등,전세 거주중 세대주 변경시 전세 보증금 대항력 유지 여부
436624,성폭력/강제추행 등,강제추행 민사소송과 내용증명 발송에 대한 상담
436627,사기/공갈,사기죄로 집유 후 다른 피해자 고소로 인한 구공판 상황
436632,사기/공갈,불구속공판기소재판과 관련한 상담글
436635,마약/도박,집행유예 가능성에 대한 상담
436636,디지털 성범죄,카찰죄 포렌식 시 확인 가능한 정보
436637,손해배상,외도 의심 상황에서의 소송 가능성
436639,성폭력/강제추행 등,성범죄 합의를 위한 내용증명 보내기 가능성에 대한 상담
436642,교통사고/도주,교통사고와 특수폭행의 구분에 대한 궁금증
436644,형사일반/기타범죄,마약 혐의에 대한 법적 고민과 질문
436646,임대차,전세금 반환소송에서 일부승소 판결에 대한 의문
436649,교통사고/도주,"킥보드 음주운전으로 면허취소, 구제 받기 위한 대응 방법은?"
436650,사기/공갈,보이스피싱 총책검거와 관련한 상담글
436653,형사일반/기타범죄,아동청소년법 술담배 대리구매 경찰서 대응 상담
436654,횡령/배임,명의 핸드폰 반환 문제에 대한 법적 해결 방안
436656,폭행/협박/상해 일반,민간인 과잉진압의 기준에 대한 상담
436657,사기/공갈,형사 고소 관련 질문
436658,기타 재산범죄,검찰송치된 사건에 대한 담당 형사님과의 연락 가능성에 대한 고민
436659,이혼,아이 양육권 준비 방법에 대한 질문
436661,음주/무면허,음주운전 3진 벌금형에 대한 상담
436662,고소/소송절차,마약 혐의에 대한 법적 고민 및 질문
436663,임대차,주택임차권자와 임차권자의 차이와 경매사건에서의 표기
436664,임대차,전세기간 만료 후 전세금 반환과 관련한 공증 상담
436665,고소/소송절차,집행유예와 항소 가능성에 대한 고민
436666,고소/소송절차,카촬죄 피의자의 구속과 민사소송의 관계
436667,임대차,협의상속 아파트 재협의 가능성에 대한 질문
436669,기타 재산범죄,소송장 발송 기준과 데이트비용 관련 상담
436670,기타 재산범죄,여성분 뒤따라가는 행위에 대한 처벌 범위는 어느정도인가요?
436672,손해배상,성병감염에 따른 손해배상청구에 대한 상담
436673,고소/소송절차,동종범죄 재판 가능성과 증거목록의 역할에 대한 질문
436677,고소/소송절차,빌려준 돈을 돌려받지 못할 때의 대처 방법
436680,사기/공갈,인터넷을 통한 사기 경험 및 해결방안에 대한 상담
436684,고소/소송절차,데이트 폭행 고소와 관련된 영상 제출에 대한 상담
436686,폭행/협박/상해 일반,안와골절 전치 4주 합의금에 대한 상담
436690,손해배상,체불임금 계좌압류 가능성에 대한 상담
436691,손해배상,상가 하수구 역류로 인한 피해보상 상담
436693,고소/소송절차,근로자인 부모님의 사망 후 퇴직금 수령 가능성에 대한 상담
436694,고소/소송절차,어린이집 아동학대 사실에 대한 민형사 소송 상담
436696,폭행/협박/상해 일반,"CCTV 없는 곳에서의 폭행 주장, 어떻게 대처해야 할까?"
436702,소송/집행절차,학교폭력과 일방적 폭행으로 인한 하악골 절상담
436704,고소/소송절차,증권사를 통한 투자 경험과 문제 상담
436707,고소/소송절차,"친구의 신체 접촉, 성추행으로 볼 수 있을까?"
436710,손해배상,행정입원 중 식사중 기도막힘으로 인한 사망 책임유무
436711,고소/소송절차,폭행 및 모욕 사건에 대한 합의 후 공판기일 관련 질문
436712,횡령/배임,업무상 횡령죄로 고소 당한 경험 공유
436715,음주/무면허,"보험사기 집행유예 중 음주운전 검찰송치, 벌금형 가능성 상담"
436718,손해배상,성희롱 내부징계 결과와 민사 소송에 대한 상담글
436719,임대차,전세계약 종료 후 보증금 미지급 문제 해결 방안
436722,사기/공갈,공증무효화 가능성과 형사처벌에 대한 상담
436723,폭행/협박/상해 일반,상해죄와 폭행죄의 차이와 합의금에 대한 이해
436724,소송/집행절차,조정불성립 후 소송과정에 대한 상담
436727,고소/소송절차,게임 아이템 사건과 고소 취하에 대한 상담
436728,성매매,성매매 관련 법률 상담
436729,폭행/협박/상해 일반,일방적 폭행 상황에서 상해죄 성립 방법
436730,디지털 성범죄,통매음죄 성립 여부에 대한 상담글
436732,공증/내용증명/조합/국제문제 등,의사표현 어려운 가족과의 금전 문제 상담
436734,계약일반/매매,"근로계약서 작성과 퇴직금, 4대보험에 대한 질문"
436735,기업법무,지분 정리 시 모든 주주 동의 필요성에 대한 질문
436738,이혼,협의이혼 중 자살협박에 대한 대처 방안
436739,사기/공갈,전세대출 사기와 관련한 판결 선고 시기에 대한 상담글
436740,폭행/협박/상해 일반,"아들이 당한 폭행 사건, 쌍방폭행 주장에 대한 상담"
436741,사기/공갈,중고제품 판매 과정에서의 문제와 법적 대응 방안
436743,고소/소송절차,탄원서 작성과 필요 서류에 대한 안내
436744,디지털 성범죄,통매음으로 신고당하는 상황에 대한 상담
436745,사기/공갈,채팅어플을 통한 환전사기 경험 공유
436749,노동/인사,노동청 임금체불 고소와 무고죄에 대한 이해
436752,건축/부동산 일반,권리금 지불에 대한 고민
436753,소송/집행절차,형사고소 사건번호와 수사관의 대응에 대한 이해
436757,사기/공갈,사기 손해배상명령청구에 대한 상담
436759,재개발/재건축,재개발 관련 제척소송 및 토지보상 상담
436762,상속,상속재산분할에 대한 문의
436763,사이버 명예훼손/모욕,스토킹 처벌법과 관련된 법적 대응 방안
436765,사기/공갈,차량 빌려준 후 돌려받지 못하는 상황 해결 방안
436766,사기/공갈,사기 고소 가능성에 대한 상담글
436767,임대차,중도퇴거와 보증금 반환에 대한 상담
436768,병역/군형법,동원훈련 부단불참으로 인한 벌금형과 공무원 임용에 대한 상담
436769,고소/소송절차,"불친절한 헬스 트레이너에 대한 리뷰 후 고소 위협, 어떻게 대처해야 할까?"
436771,소송/집행절차,이혼 재산분할 항고 진행 방법과 절차
436772,명예훼손/모욕 일반,음식 리뷰 작성과 사실적시 명예훼손 가능성에 대한 상담
436773,의료/식품의약,개인정보보호법에 따른 고객 DB 제공 관련 문의
436774,대여금/채권추심,스타트업에서의 채무 문제와 민사소 진행에 대한 상담
436775,사이버 명예훼손/모욕,트레이너의 불친절에 대한 고소 가능성
436776,임대차,회사 분양분 전세보증금 계약 만료날 미지급 시 대응방법
436777,임대차,사무실 인테리어 공사비용 청구에 대한 소송 상담
436784,임대차,기업형 임대주택 전세반환금 타인명의로 받는 방법은?
436785,임대차,아파트 매매 계약과 비협조적인 매도자로 인한 대출 문제
436786,임대차,경매 낙찰 후 등기상 다른 집에서 민사를 건 상황 해결 방안
436787,고소/소송절차,SNS 상에서의 모욕죄 혹은 명예훼손죄 성립 가능성
436792,디지털 성범죄,특례법위반(카메라등이용촬영) 상담글
436793,가사 일반,성년 자녀의 대학교 등록금 지급에 대한 고민
436796,수사/체포/구속,동원훈련 무단불참에 따른 벌금형 상담
436797,임대차,전세보증금 감액과 차용증 작성에 대한 대응 방법
436800,기타 재산범죄,절도죄 피해자와의 합의금 산정 및 민사 손해배상에 대한 문의
436801,임대차,상가 임대차 계약 특약사항 및 양도양수 상담
436803,폭행/협박/상해 일반,화상 상해진단서의 효력과 죄명 변경 가능성
436804,수사/체포/구속,절도전과와 집행유예 중 다시 절도를 저지른 경우
436807,손해배상,용역계약 후 직접발주 항목 발생 시 대응 방법
436809,손해배상,사실혼 해소와 유책배우자에 대한 청구 가능 범위
436812,사기/공갈,폰지 사기 관련 상담 및 집단소송 준비 상황
436815,사기/공갈,소액 사기 후 전액 환불 받았을 때의 신고 가능성
436817,손해배상,레저스포츠 사고 발생과 관련한 보상 문의
436819,고소/소송절차,상간소송 폐문부재 시
436820,매매/소유권 등,점유취득소송 가능성에 대한 질문
436822,사이버 명예훼손/모욕,명예훼손으로 고소장 접수와 조사 준비 방법
436824,디지털 성범죄,항소심 후 민사소송에 대한 상담
436825,이혼,친권변경신청과 면접교섭에 대한 상담
436827,소송/집행절차,녹취록 증거제출 기한 및 방법에 대한 문의
436828,음주/무면허,음주무죄와 형사비용보상청구에 대한 상담
436829,성폭력/강제추행 등,기내에서 발생한 강제추행 사건에 대한 상담
436831,고소/소송절차,약식명령 벌금형 선고 후 합의에 대한 절차와 방법
436832,가사 일반,이부 동생 양육권을 받을 수 있을까요?
436833,회생/파산,"개인 파산, 폐업 및 해고예고수당 미지급 상황에 대한 조언 요청"
436835,가압류/가처분,"개인 파산과 회생, 워크아웃에 대한 상담"
436844,사기/공갈,사기방조죄에 대한 징역 가능성
436845,임대차,전세금 반환 문제와 대처 방안에 대한 상담
436846,고소/소송절차,강제추행건 재정신청시 서면작성 기한과 비용에 대한 상담
436847,세금/행정/헌법,배우자의 세금 체납과 아파트 매매에 따른 압류 가능성
436849,임대차,경매 낙찰 이후 임차권등기명령 말소 가능성에 대한 질문
436850,소송/집행절차,"모욕죄로 고소 당한 경우, 성립 가능성은?"
436851,임대차,재산분할 취소 관련 소송 상담
436853,손해배상,합의서 사진의 법적 효력에 대한 상담
436855,사기/공갈,사기방조죄 기망행위로 고소당한 상황 상담
436857,수사/체포/구속,대마초 관련 기소유예 및 사후적 경합범에 대한 상담
436858,임대차,아파트 매매 계약 후 중대한 하자 발생 시 비용 청구 방법
436860,횡령/배임,물건 반환 요청에 대한 상담
436863,고소/소송절차,합의 시기에 따른 명예훼손 사건의 처분 차이
436864,사기/공갈,인터넷 방송 환불 관련 사기 신고 및 고소 상담
436865,대여금/채권추심,악성 미수금 거래처 추심 소송과 인적사항 확인에 대한 상담
436867,폭행/협박/상해 일반,폭행죄 성립 가능성에 대한 궁금증 해결
436868,상속,한정승인 절차와 상속포기에 대한 질문
436871,대여금/채권추심,일수 연체와 관련된 소송 상담
436874,손해배상,잘못된 처방으로 인한 재수술 경험 및 법적 대응 방안
436875,수사/체포/구속,보호관찰 신고 및 개시등록시 주말 가능성과 지역 선택에 대한 질문
436876,성매매,기소유예와 정보제공동의서에 대한 상담
436877,고소/소송절차,형사사건 관할 법원의 결정과 변경에 대한 상담
436878,사기/공갈,채팅환전사기 피해 복구 방법
436880,소송/집행절차,소송 비용에 대한 질문과 답변
436881,임대차,임차권 등기명령과 확정일자 신청에 대한 상담
436882,소송/집행절차,상해 및 특수협박 고소 전 상담에 대한 조언
436886,이혼,국민연금 조기수령과 이혼 후 배우자에 대한 연금 분할 문제
436889,명예훼손/모욕 일반,게임 중 발생한 문제와 대처 방법
436891,건축/부동산 일반,무허가 건물 철거시 미동의하는 상속인에게 가능한 소송 방법
436892,임대차,부동산 월세 관련 상담 요청
436893,손해배상,손해배상 승소 이후 배상금 집행 절차에 대한 상담
436895,폭행/협박/상해 일반,술집 기물 파손 사건에 대한 상담
436897,사기/공갈,통대환대출 관련 경찰조사 상담
436898,디지털 성범죄,인형뽑기 상품 확인과 사건 발생 확률에 대한 상담
436899,성폭력/강제추행 등,외국인에게 성폭행 당한 경험 공유 및 합의금 관련 정보
436901,사기/공갈,공소권 없음 처분에 대한 의문과 스키복 거래 사기
436902,손해배상,체육관 운영과 부상 책임에 대한 이해
436905,고소/소송절차,피해자와 상담했던 변호사가 같은 사건의 피의자에게 수임 받을 수 있나요?
436908,이혼,국제결혼 후 부인의 돌연한 행동 변화와 이혼 절차에 대한 상담
436914,형사일반/기타범죄,가족간 스토킹처벌 신고 가능성에 대한 상담
436916,교통사고/도주,킥보드 사고와 보상 절차에 대한 안내
436917,사기/공갈,보이스피싱 피해와 합의금에 대한 고민
436918,대여금/채권추심,빌려준 돈을 갚지 않는 상황에서의 대처 방법
436919,임대차,전세계약 중도해지 및 전세보증보험 관련 질문
436922,소송/집행절차,재건축 추진준비위원장에 의한 개인정보 유출 및 명예훼손 문제
436923,성매매,성매매 단속으로부터 안심할 수 있는 기간에 대한 고민
436924,사기/공갈,불법 점유와 명도소송에 대한 상담
436927,손해배상,피부과 치료 부작용과 배상 청구 관련 질문
436928,소송/집행절차,개인정보보호법 및 의료법 위반에 대한 고소 가능성 상담
436929,이혼,합의이혼 중 변화된 상황과 이혼소송 진행 시 금액 반환 가능성
436930,사이버 명예훼손/모욕,인터넷 말싸움과 법적 대응 방법
436931,횡령/배임,편의점 폐기 가져간 걸로 횡령죄로 고소한다고 합니다
436933,매매/소유권 등,이혼 후 명도소송 대응 방법
436934,사이버 명예훼손/모욕,모욕 고소와 불송치 결정에 대한 다른 방법 탐색
436935,폭행/협박/상해 일반,폭행 사건에서 상대방에 대한 불송치이의신청 가능성
436936,사기/공갈,빌려준 돈 회수 방법과 가능성에 대한 상담
436937,임대차,임대차보증금 반환소송과 임대인 변경에 따른 문제점
436938,임대차,전세집 중도퇴실 시 계약서 반환과 전세보증금 반환 문제
436939,사기/공갈,사기죄 고소인 조사 준비에 대한 상담
436940,손해배상,강아지 물림사고와 치료비 요구에 대한 상담
436942,명예훼손/모욕 일반,검찰로 송치된 사실을 고소인이 알 수 있는지에 대한 정보
436944,사기/공갈,신고 관련 상담글
436950,명예훼손/모욕 일반,게임 관련 성희롱에 대한 통매음 고소 가능성 및 과정
436951,노동/인사,근로 관련 이슈 상담 요청
436954,디지털 성범죄,통매음으로 신고 대응 방법
436955,디지털 성범죄,오픈채팅 통매음 가능성에 대한 상담글
436956,소송/집행절차,퇴사 후 창업과 부제소합의서의 법적 문제
436958,고소/소송절차,가족 간의 폭행죄 상황과 그에 따른 처벌
436961,매매/소유권 등,전세보증금 반환과 임대인 연락두절에 대한 해결방안
436962,사기/공갈,사기를 당한 후 민사소송 가능성에 대한 상담
436963,대여금/채권추심,정산금 지급 문제와 법적 조치 방안
436964,임대차,임대인 변경 후 세입자 계약해지 문제에 대한 법적 상담
436965,소송/집행절차,원금 전액상환 후 이자변제에 대한 내용증명 상담
436966,폭행/협박/상해 일반,폭행 진단서 관련 질문 및 상담 요청
436967,고소/소송절차,강제조정 후 이의신청 가능성에 대한 질문
436968,대여금/채권추심,"채권추심과 강제집행, 신용불량자에 대한 진행 방법"
436969,임대차,전세 잔금일에 소유권 이전 등기 확인과 대응 방안
436971,횡령/배임,가족간 카드 명의도용 문제와 해결방안
436973,가사 일반,양육비 청구 방법과 과정
436974,형사일반/기타범죄,사이버 스토킹으로 고소 가능성에 대한 이해
436975,디지털 성범죄,"성인사이트 실수 방문, 처벌 가능성 여부"
436976,고소/소송절차,절도죄 고소 가능성에 대한 상담
436977,손해배상,"계약금 일부 입금 후 계약서 작성 전, 특약 내용 합의 불발 시의 대처 방안"
436978,수사/체포/구속,주거침입죄 초범에 대한 형량 여부
436979,명예훼손/모욕 일반,민사소송 가처분 취소 관련 정보
436982,소송/집행절차,2차납세의무자 주주의 국세 체납상황: 실질적인 주주가 아닐 경우 세금 납부 의무
436983,명예훼손/모욕 일반,네이버 리뷰로 인한 고소 대응 방법
436987,회생/파산,부동산 시행법인의 실질적인 소유주와 사업운영 어려움 시 주주의 책임
436988,기업법무,주주로 등재된 법인을 찾는 방법
436991,소송/집행절차,부부간 채무부존재소송에 대한 상담
436992,디지털 성범죄,"성인사이트 실수 접속, 처벌 가능성은?"
436993,미성년 대상 성범죄,SNS에서의 아청물 시청에 대한 당혹감과 불안감
436995,임대차,전세계약과 신탁소유에 대한 상담
436996,대여금/채권추심,개인 간 대출 문제와 해결 방안에 대한 고민
436997,병역/군형법,직업군인의 선임에 대한 괴롭힘 문제와 대처방안
436999,사기/공갈,전세사기 후 전세대출 연장과 관련한 상담
437001,수사/체포/구속,스토킹 및 잠정조치위반에 대한 구공판 질문
437005,형사일반/기타범죄,주거침입죄 성립여부 및 대처 방안
437006,소송/집행절차,토지 및 실거주자와 건축물대장 명기된 소유자가 다를 경우의 해결방안
437008,건축/부동산 일반,"빗물 유입으로 인한 천장 파손, 윗집과의 협조 문제"
437009,미성년 대상 성범죄,미성년 학생의 부적절한 행동에 대한 대응 방안
437011,고소/소송절차,민사소송과 협박죄 가능성에 대한 상담
437012,건축/부동산 일반,누수와 곰팡이 문제로 인한 손해배상 가능성에 대한 질문
437013,사기/공갈,인지사건에서 고소사건으로 변경 가능성 및 피해 회복 방안
437014,임대차,부동산 계약 불이행과 해지 사항
437015,고소/소송절차,잘못된 소송 대상에 대한 법적 처리 방안
437016,재개발/재건축,재건축 결정에 따른 소유권 이전 관련 소장 접수와 준비서면 작성에 대한 문의
437017,명예훼손/모욕 일반,온라인 게임 내 음담패설로 인한 고소 가능성
437018,이혼,가정주부 이혼시 재산분할에 대한 상담
437019,폭행/협박/상해 일반,도움이 필요한 폭행죄와 상해죄 사례
437022,사이버 명예훼손/모욕,능욕범죄 피해자의 처벌관련 상담
437023,소송/집행절차,다른 법인에게 소송을 제기했을 때의 결과는?
437025,소비자/공정거래,수족관 구매 후 발생한 문제와 환불 가능성에 대한 질문
437026,임대차,재산분할로 아파트 매매가 어려울 때의 해결방안
437027,성폭력/강제추행 등,성폭력 피해자의 궁금증 해결
437028,폭행/협박/상해 일반,협박죄로 신고 가능성에 대한 상담
437032,횡령/배임,대리토토 관련 질문 및 상담
437033,성폭력/강제추행 등,마사지샵 방문 후 발생한 성희롱성추행 사건에 대한 상담
437036,사기/공갈,월세 문제로 인한 법적 대응 방안
437041,명예훼손/모욕 일반,리그오브레전드 내 공격적인 채팅과 성적인 욕설 신고 가능성에 대한 안내
437045,사기/공갈,단체 형사고소 진행 시 필요한 서류와 절차에 대한 안내
437046,성폭력/강제추행 등,성범죄 입증 가능성에 대한 고민
437053,디지털 성범죄,통매음 불송치 결과와 정보통신망 음란물 유포죄로의 죄명 변경에 대한 상담
437055,폭행/협박/상해 일반,폭행 당한 후 조치 방법에 대한 상담
437058,임대차,"상가 누수 공사 및 인테리어 복원, 공사 기간 영업 손실 보상 상담"
437061,임대차,전세 계약 중도 해지에 대한 상담
437062,대여금/채권추심,외주 임가공업체로부터 내용증명을 받은 상황 해결 방안
437063,소송/집행절차,임금체불 문제와 관련한 상담
437064,고소/소송절차,사이버 공간에서의 명예훼손 벌금 관련 상담
437065,사이버 명예훼손/모욕,"오픈채팅 상대에게 통매음 혐의, 어떻게 대처해야 할까?"
437066,사기/공갈,중개사와의 복잡한 계약 문제와 해결 방안
437067,사기/공갈,골드바 사기 피해 상담 및 해결 방안
437068,손해배상,프랜차이즈 매장관리와 직원교육의 문제점 및 피해보상에 대한 상담
437070,고소/소송절차,오픈채팅과 라인에서의 대화로 인한 고소 가능성에 대한 질문
437071,고소/소송절차,당사자표시 정정신청서 작성 여부에 대한 상담
437073,고소/소송절차,소송 주체 오류 시 기각 여부와 변호사의 역할
437074,임대차,"상가임대차 계약과 보증금, 임대료 인상에 대한 궁금증"
437075,형사일반/기타범죄,양육권자의 권한과 한계: 자녀 명의 주식 계좌 변경 문제
437076,디지털 성범죄,죄명 특정 필요성에 대한 질문
437077,사기/공갈,스토커로 신고 가능한 경우와 1대1통화에서의 욕설에 대한 법적인 문제
437078,고소/소송절차,"선거유세차 간판 훼손, 수리 미흡 문제"
437080,대여금/채권추심,카드를 빌려주고 사용한 내역에 대한 차용증 작성 방식
437081,계약일반/매매,동업 파기에 대한 고민과 해결방안
437082,이혼,양육비 협의이혼에 대한 상담
437084,임대차,보증보험 이행청구 협조 거부와 대리인 차용증의 법적 효력
437086,미성년 대상 성범죄,불촬물 시청에 대한 법적인 문제와 합법적인 성인 콘텐츠 이용 방법
437087,수사/체포/구속,스토킹 및 잠정조치위반에 대한 형량 및 공판기일 관련 질문
437088,고소/소송절차,모욕죄로 고소 당한 경우 각하처분 이후 고소인의 이의신청 가능성
437089,이혼,황혼 이혼 상담 요청
437090,기타 재산범죄,"우산 절도로 인한 경찰 신고 상황, 어떻게 대처해야 할까요?"
437091,기타 재산범죄,"절도 사건과 지문, 사건화 가능성 및 대처법"
437093,명예훼손/모욕 일반,온라인 게임 중 통매음에 대한 상담글
437094,디지털 성범죄,온라인 상에서의 개인 영상 유출에 대한 우려와 대처법
437095,고소/소송절차,형사소송 피해자의 대응 방법에 대한 문의
437097,손해배상,선임 계약 해지와 손해배상 가능성에 대한 상담
437098,손해배상,외도 사건 합의 진행 시 필요한 절차
437100,명예훼손/모욕 일반,온라인 상에서의 통매음과 관련한 법적 절차
437102,사기/공갈,사기죄를 차용증으로 변경하는 방법에 대한 상담
437104,임대차,월세로 살던 집이 자살한 집이었다는 사실을 알게 된 후의 정신적 피해 보상 청구 가능성
437105,디지털 성범죄,통매음 상황에서의 대처 방안
437106,수사/체포/구속,스토킹 처벌법에 대한 질문과 답변
437107,상속,친생자 관계 부존재 확인과 가족관계증명서 정리
437108,사기/공갈,전세사기 의심상황과 대응방법
437109,손해배상,불법주차금지판으로 인한 상해 상담
437110,임대차,임차인 집 계약 기간 만료 전 보증금 지급 관련 상담
437111,사기/공갈,부당이득반환청구소송에 대한 질문
437112,명예훼손/모욕 일반,SNS에 상호명 노출 시 명예훼손 가능성에 대한 고민
437114,사이버 명예훼손/모욕,알 수 없는 곳에서의 소액 입금 문제와 해결 방안
437115,교통사고/도주,군인 운전병의 물피도주 관련 질문 및 상담
437116,사기/공갈,경찰조사 주소지 이관에 대한 상담
437118,이혼,사실혼관계에서의 양육비 산정 방법
437120,고소/소송절차,강제추행 고소 후 가해자의 진술 번복 문제
437121,형사일반/기타범죄,"이웃집 나무 뿌리로 인한 집 손상, 민사일까 형사일까?"
437122,이혼,가정폭력과 이혼 가능성에 대한 상담
437123,형사일반/기타범죄,스토킹 공판과 부가처분에 대한 질문
437124,손해배상,전매기간 아닌 시기에 작성한 계약서와 관련된 상담
437125,사이버 명예훼손/모욕,학교폭력과 SNS 비방글에 대한 상담
437126,고소/소송절차,"쌍방폭행, 상해에 대한 질문"
437127,미성년 대상 성범죄,아청법 소지죄 및 시청죄에 대한 상담
437129,사이버 명예훼손/모욕,명예훼손으로 고소장을 받았습니다
437130,폭행/협박/상해 일반,특수폭행죄에서의 대응 방향에 대한 조언
437131,임대차,집주인과의 보증금 문제 상담
437132,매매/소유권 등,매매 중인 집에 전세 계약 체결 시 주의사항
437133,디지털 성범죄,SNS에서의 실수 리트윗과 법적 책임
437134,교통사고/도주,회사 회식에서의 실수로 인한 해고 상황
437135,수사/체포/구속,성범죄 고소에 대한 걱정과 대비 방법
437136,미성년 대상 성범죄,"인스타를 통한 불법 행위, 고소 가능성에 대한 이해"
437139,고소/소송절차,정보공개 청구의 필요성에 대한 이해와 실제 적용
437140,미성년 대상 성범죄,음란물 금전거래와 선제적 사건화에 대한 상담
437141,사기/공갈,보이스피싱 피해와 법적 절차에 대한 상담
437142,수사/체포/구속,고소장 정보공개에 대한 질문
437143,상속,채무 상속과 상속포기각서에 대한 이해
437144,형사일반/기타범죄,추징금 문의 및 2심 재판 기간에 대한 상담
437145,고소/소송절차,고소장 부분공개 범위 및 경찰 수사단계 사건 비용에 대한 질문
437146,형사일반/기타범죄,아파트 입주를 막는 행위의 불법 여부
437150,건축/부동산 일반,인테리어 불량 시공 후 하자에 대한 손해배상청구 가능성에 대한 질문
437152,가사 일반,부모 부양에 대한 형제간 기여분 청구 가능성 문의
437153,대여금/채권추심,채무자 주소 문의와 법적 문제점
437156,미성년 대상 성범죄,불법촬영물 및 SNS 관련 법률 해석 문의
437157,임대차,건물주와의 재계약 시점에서 월세 인상 문제 상담
437158,형사일반/기타범죄,학교폭력과 특수상해 성립여부에 대한 상담
437159,사기/공갈,약정금 청구와 관련한 민사 및 형사 소송 고려
437161,사기/공갈,거짓 변제 내용 제출에 대한 법적 대응 방안
437162,형사일반/기타범죄,외국인과 합의서 관련 질문
437163,이혼,이혼 과정에서의 금전 요구와 대응 방안
437164,횡령/배임,불법도박과 관련된 차용금 문제 상담
437165,임대차,전세대출 문제와 해결방안에 대한 상담
437167,명예훼손/모욕 일반,명예훼손 사건 참고인 출석요구서에 대한 상담
437169,사기/공갈,외국인 친구에게 빌려준 돈 회수 방법
437171,성폭력/강제추행 등,강제추행 재정신청 이후 서면작성 및 서류 준비 방법
437173,기타 재산범죄,주거침입 고소 관련 상담
437174,디지털 성범죄,"랜덤채팅 후 갑작스런 고소협박, 어떻게 대처해야 할까요?"
437175,고소/소송절차,협박죄로 고소당한 경우의 대처 방안
437177,소송/집행절차,친부 사망 후 친양자입양 상속에 대한 이해
437179,건축/부동산 일반,성년후견인의 부동산 문제 상담
437184,디지털 성범죄,"인스타에서 통매음으로 고소, 이것이 성립되는지?"
437185,명예훼손/모욕 일반,통매음에 대한 고소 가능성과 불송치 가능성
437186,디지털 성범죄,핸드폰 수색 중 불똥 우려에 대한 상담
437187,성폭력/강제추행 등,마사지샵에서의 성추행 후기와 이에 대한 법적 대응 방법
437190,디지털 성범죄,카메라 촬영 신고 대응 방법에 대한 고민
437192,임대차,전세금 미반환으로 인한 피해 상담
437193,기타 재산범죄,택배절도와 용의자 소환 가능성에 대한 상담
437194,명예훼손/모욕 일반,디시인사이드에서 유튜버에게 부정적인 발언 후 고소 가능성에 대한 상담
437195,사기/공갈,빌려준 돈을 못받고 있는 상황에 대한 상담글
437196,사기/공갈,대여금 사기 및 명의 도용 상담에 대한 조언
437197,명예훼손/모욕 일반,온라인 게임에서의 모욕죄 가능성에 대한 상담
437198,기타 재산범죄,협박과 빌린돈 문제에 대한 상담 요청
437200,기타 재산범죄,미성년자 특수절도 미수 및 주거침입 재물손괴 관련 질문
437201,폭행/협박/상해 일반,주거침입과 협박죄로 조사를 받는 상황에 대한 상담
437202,매매/소유권 등,아파트 공동명의 매매 절차와 변호사 선임 과정
437203,이혼,이혼 후 차량 명의 변경 요구 상황 상담
437204,기타 재산범죄,"주거침입, 명예훼손, 모욕, 협박 등으로 고소를 고려중인 임차인의 상담글"
437205,명예훼손/모욕 일반,사이버 모욕죄 및 명예훼손죄 성립 여부 상담
